Code,Name
NSE/XCHANGING,Xchanging Solutions Limited
NSE/ROMAN,Roman Tarmat Limited
NSE/VTXIND,VTX Industries Limited
NSE/ZENITHINFO,Zenith Infotech Limited
NSE/HOPFL,House of Pearl Fashions Limited
NSE/MAHINDFORG,Mahindra Forgings Limited
NSE/NV20,National Stock Exchange of India (NSE) Stock Index - NV 20
NSE/PEPL,Pearl Engineering Polymers Limited
NSE/LICNFNHGP,LICNAMC - LICNFNHGP
NSE/VKSPL,VKS Projects Limited
NSE/EONELECT,Eon Electric Limited
NSE/NORTHGATE,Northgate Technologies Limited
NSE/UTISENSETF,UTI Mutual Fund - UTI-Sensex Exchange Traded Fund
NSE/CNX_NIFTY_JUNIOR,National Stock Exchange of India (NSE) Stock Index - Junior Nifty
NSE/CNXENERGY,National Stock Exchange of India Stock Index - CNX ENERGY
NSE/SITICABLE,Siti Cable Network Limited
NSE/AKZOINDIA,Akzo Nobel India Limited
NSE/CORPBANK,Corporation Bank
NSE/SBTINTL,SB&T International Limited
NSE/NIFTY_200,National Stock Exchange of India (NSE) Stock Index - Nifty 200
NSE/HYDRBADIND,Hyderabad Industries Limited
NSE/KALECONSUL,Kale Consultants Limited
NSE/SALONA,Salona Cotspin Limited
NSE/GEODESIC,Geodesic Limited
NSE/SAMINDUS,SAM Industries Limited
NSE/KFA,Kingfisher Airlines Limited
NSE/DBREALTY,D B Realty Limited
NSE/TARAJEWELS,Tara Jewels Limited
NSE/SAKTHIFIN,Sakthi Finance Limited
NSE/AGRE,Agre Developers Limited
NSE/PIRLIFE,Piramal Life Sciences Limited
NSE/BSTRANSCOM,BS TransComm Limited
NSE/VARUN,Varun Industries Limited
NSE/RESURGERE,Resurgere Mines & Minerals India Limited
NSE/COREEDUTEC,CORE Education & Technologies Limited
NSE/WANBURY,Wanbury Limited
NSE/BATAINDIA,Bata India Limited
NSE/BERGEPAINT,Berger Paints (I) Limited
NSE/AICHAMP,AI Champdany Industries Limited
NSE/ZENITHCOMP,Zenith Computers Limited
NSE/CMAHENDRA,C. Mahendra Exports Limited
NSE/HELIOSMATH,Helios And Matheson Information Technology Limited
NSE/INNOIND,Innoventive Industries Limited
NSE/SOFTTECHGR,Software Technology Group International Limited
NSE/PLETHICO,Plethico Pharmaceuticals Limited
NSE/REISIXTEN,REI Six Ten Retail Limited
NSE/SIRPAPER,The Sirpur Paper Mills Limited
NSE/CINEMAX,Cinemax India Limited
NSE/WELPROJ,Welspun Projects Limited
NSE/BELLCERATL,Bell Ceramics Limited
NSE/PANCHSHEEL,Panchsheel Organics Limited
NSE/KITPLYIND,Kitply Industries Limited
NSE/NUMERICPW,Numeric Power Systems Limited
NSE/DALMIABEL,Dalmia Bharat Enterprises Limited
NSE/PILIND,Peacock Industries Limited
NSE/DCB,Development Credit Bank Limited
NSE/NAVNETPUBL,Navneet Publications India Limited
NSE/UTVSOF,UTV Software Communications Limited
NSE/ATNINTER,ATN International Limited
NSE/NCOPPER,Nissan Copper Limited
NSE/TELEMARINE,Teledata Marine Solutions Limited
NSE/AHLWEST,Asian Hotels (West) Limited
NSE/ANDHRABANK,Andhra Bank
NSE/ARCHIDPLY,Archidply Industries Limited
NSE/AURIONPRO,Aurionpro Solutions Limited
NSE/BANKBEES,Goldman Sachs Banking Index Exchange Traded Scheme
NSE/BHAGYNAGAR,Bhagyanagar India Limited
NSE/BHARATRAS,Bharat Rasayan Limited
NSE/COMPUSOFT,Compucom Software Limited
NSE/DALMIABHA,Dalmia Bharat Limited
NSE/DLINKINDIA,D-Link (India) Limited
NSE/ESCORTS,Escorts Limited
NSE/FSL,Firstsource Solutions Limited
